COMUNE;INDIRIZZO;CAP;TELEFONO;EMAIL;PEC;WEB;SINDACO;Anno elezione
CERRO VERONESE;piazza Don Angelo Vinco, 4;37020;045 7080005;comune@comune.cerroveronese.vr.it;comune.cerroveronese@pec.it;www.comune.cerroveronese.vr.it;Antonio Bertaso;2021
COLOGNA VENETA;piazza Capitaniato, 1;37044;0442 413511;segr@comune.cologna-veneta.vr.it;colognaveneta.vr@cert.ip-veneto.net;www.comune.cologna-veneta.vr.it;Manuel Scalzotto;2021
COLOGNOLA AI COLLI;piazzale Trento, 2;37030;045 6159611;sindaco@comunecolognola.it;colognolaaicolli.vr@cert.ip-veneto.net;www.comunecolognola.it;Giovanna Piubello;2021
CONCAMARISE;via Capitello, 1;37050;0442 374055;segreteria@comune.concamarise.vr.it;comune.concamarise@pec.it;www.comune.concamarise.vr.it;Marco Bonadiman;2024
COSTERMANO SUL GARDA;piazza G. B. Ferrario, 1;37010;045 6208111;protocollo@comunecostermano.it;comunecostermano@cert.ip-veneto.net;www.comunecostermano.it;Stefano Passarini;2024
DOLCÈ;Via Trento, 698;37020;045 7290022;area.segreteria@comune.dolce.it;info@pec.comunedolce.it;www.comunedolce.it;Renato Comerlati;2024
'ERBE''';via Vittorio Emanuele, 2;37060;045 7325005;info@comune.erbe.vr.it;erbe.vr@cert.ip-veneto.net;www.comune.erbe.vr.it;Nicola Martini;2024
ERBEZZO ;via Roma, 73;37020;045 7075013;protocollo@comune.erbezzo.vr.it; comune.erbezzo.vr@pecveneto.it;www.comune.erbezzo.vr.it;Alessio Leso;2024
FERRARA DI MONTE BALDO;piazza General Cantore, 12;37020;045 6247002;info@comune.ferraradimontebaldo.vr.it;protocollo@comune.ferraradimontebaldo.legalmail.it;www.comune.ferraradimontebaldo.vr.it;Carla Giacomazzi;2023
FUMANE;viale Roma, 2;37022;045 6832811;info@comunedifumane.it;fumane.vr@cert.ip-veneto.net;www.comune.fumane.vr.it;Daniele Zivelonghi;2024
GARDA;lungolago Regina Adelaide, 15;37016;045 6208444;informazioni@comune.garda.vr.it;comune.garda@pec.it;www.comune.garda.vr.it;Davide Bendinelli;2021
GAZZO VERONESE;via Roma, 89 - Roncanova;37060;0442 579000;segreteria@comune.gazzo.vr.it;segreteria@pec.comune.gazzo.vr.it;www.comune.gazzo.vr.it;Stefano Negrini;2022
GREZZANA;piazzetta Milite Ignoto (già via Roma), 1;37023;045 8872511;info@comune.grezzana.vr.it;protocollo.comune.grezzana.vr@pecveneto.it;www.comune.grezzana.vr.it;Arturo Alberti;2021
ILLASI;piazza della Libertà, 1;37031;045 7830411;info@comune.illasi.vr.it;protocollo.comune.illasi.vr@pecveneto.it;www.comune.illasi.vr.it;Emanuela Ruffo;2022
ISOLA DELLA SCALA;via Vittorio Veneto, 4;37063;045 6631927;sindaco@comune.isoladellascala.vr.it;isoladellascala@cert.ip-veneto.net;www.comune.isoladellascala.vr.it;Luigi Mirandola;2021
ISOLA RIZZA;Via G. Marconi, 187;37050;045 7135022;protocollo@comune.isolarizza.vr.it ;protocollo.isolarizza@legalmail.it;www.comune.isolarizza.vr.it;'Vittoria Calo''';2021
LAVAGNO;Via Piazza, 4;37030;045 8989311;info@comune.lavagno.vr.it;comune.lavagno.vr@pecveneto.it;www.comune.lavagno.vr.it;Matteo Vanzan;2024
LAZISE;piazza Vittorio Emanule II, 20;37017;045 6445111;info@comune.lazise.vr.it;comune.lazise.urp@halleypec.it;www.comune.lazise.vr.it;Dario Bergamini;2023
LEGNAGO;via XX Settembre, 29;37045;0442 634898;info@comune.legnago.vr.it;legnago.vr@cert.ip-veneto.net;www.comune.legnago.vr.it;Paolo Longhi;2024
MALCESINE;piazza Statuto, 1;37018;045 6589911;info@comunemalcesine.it;protocollo@pec.comunemalcesine.it;www.comunemalcesine.it;Giuseppe Benamati;2024
MARANO DI VALPOLICELLA;via Porta, 1;37020;045 7755002 / 126;info@comunemaranovalp.it;info@pec.comunemaranovalpolicella.vr.it;www.comunemaranovalpolicella.vr.it;Giuseppe Zardini;2024
MEZZANE DI SOTTO;via San Giovanni da Dio, 6;37030;045 8880100;segreteria@comune.mezzane.vr.it;protocollogenerale@pec.comune.mezzane.vr.it;www.comune.mezzane.vr.it;Giovanni Carrarini;2024
MINERBE;via G. Marconi, 41;37046;0442 633411;comune@comune.minerbe.vr.it;comune.minerbe@halleypec.it;www.comune.minerbe.vr.it;Andrea Girardi;2021
MONTECCHIA DI CROSARA;piazza Umberto I, 56;37030;045 7450038;segreteria@comune.montecchiadicrosara.vr.it;protocollo.comune.montecchiadicrosara.vr@pecveneto.it;www.comune.montecchiadicrosara.vr.it;Giuseppe Cavazza;2024
'MONTEFORTE D''ALPONE';piazza Silvio Venturi, 24;37032;045 6137311;info@comune.montefortedalpone.vr.it;pec@pec.comune.montefortedalpone.vr.it;www.comune.montefortedalpone.vr.it;Roberto Costa;2024
MOZZECANE;via Caterina Bon Brenzoni, 26;37060;045 6335800;protocollo@comunemozzecane.it;protocollo@pec.comunemozzecane.it;www.comunemozzecane.it;Mauro Martelli;2024
NEGRAR DI VALPOLICELLA;piazza Vittorio Emanuele II, 37;37024;045 6011611;info@comunenegrar.it;protocollo@pec.comunenegrar.it;www.comunenegrar.it;Fausto Rossignoli;2024
NOGARA;via Falcone Borsellino,1;37054;0442 513311;info@comune.nogara.vr.it;comune.nogara.vr@halleypec.it;www.comune.nogara.vr.it;Flavio Massimo Pasini;2021
NOGAROLE ROCCA;via Roma, 38;37060;045 7925384;segreteria-ced@comune.nogarolerocca.vr.it;urp.nogarolerocca@legalmail.it;www.comune.nogarolerocca.vr.it;Luca Trentini;2024
OPPEANO;piazza G. Altichieri, 1;37050;045 7139211;segreteria@comune.oppeano.vr.it;oppeano.vr@cert.ip-veneto.net;www.comune.oppeano.vr.it;Luca Faustini;2024
'PALU''';via Roma, 29;37050;045 6070021;anagrafe@comunepalu.it;palu@cert.ip-veneto.net;www.comunepalu.it;Francesco Farina;2020
PASTRENGO;piazza Carlo Alberto, 1;37010;045 6778800;info@comunepastrengo.it;protocollo.comune.pastrengo.vr@pecveneto.it;www.comunepastrengo.it;Stefano Zanoni;2021
PESCANTINA;via Madonna, 53;37026;045 6764211;segreteria@comune.pescantina.vr.it;pescantina.vr@cert.ip-veneto.net;www.comune.pescantina.vr.it;Aldo Vangi;2024
PESCHIERA DEL GARDA;piazzale Betteloni, 3;37019;045 6444700;segreteria@comune.peschieradelgarda.vr.it;comunepeschieradelgarda@pec.it;www.comune.peschieradelgarda.vr.it;Maria Orietta Gaiulli;2024
POVEGLIANO VERONESE;piazza Quattro Novembre, 3;37064;045 6334111;protocollo@comune.poveglianoveronese.vr.it;poveglianoveronese.vr@cert.ip-veneto.net;www.comune.poveglianoveronese.vr.it;Roberta Tedeschi;2021
PRESSANA;piazza Garibaldi, 1;37040;0442 84333;protocollo@comune.pressana.vr.it;protocollo@pec.comune.pressana.vr.it;www.comunepressana.it;Stefano Marzotto;2024
RIVOLI VERONESE;piazza Napoleone I, 3;37010;045 7281166;protocollo@comune.rivoli.vr.it;protocollo.comune.rivoli.vr@pecveneto.it;www.comune.rivoli.vr.it;Giuliana Zocca;2020
'RONCA''';piazza G. Marconi, 4;37030;045 7460017;protocollo@comune.ronca.vr.it;protocollo.comune.ronca.vr@pecveneto.it;www.comune.ronca.vr.it;Lorenzo Ruggeroni;2024
'RONCO ALL''ADIGE';piazza Roma, 1;37055;045 6608211;protocollo@comune.roncoalladige.vr.it;protocollo@pec.comune.roncoalladige.vr.it;www.comune.roncoalladige.vr.it;Davide Vesentini;2024
ROVERCHIARA;via Vittorio Veneto, 7;37050;0442 689014;sindaco@comune.roverchiara.vr.it;protocollo.comune.roverchiara.vr@legalmail.it;www.comune.roverchiara.vr.it;Loreta Isolani;2022
ROVERÈ VERONESE;piazza Vittorio Emanuele, 12;37028;045 6518005;segreteria@comune.rovereveronese.vr.it;comune.rovereveronese@pec.it;www.comune.rovereveronese.vr.it;Stefano Marcolini;2021
'ROVEREDO DI GUA''';via Dante Alighieri, 10;37040;0442 86014 / 056;info@comune.roveredodigua.vr.it;protocollo@pec.comune.roveredodigua.vr.it;www.comune.roveredodigua.vr.it;Antonio Pastorello;2024
SALIZZOLE;piazza Castello, 1;37056;045 7100013;info@comune.salizzole.vr.it;salizzole.vr@cert.ip-veneto.net;www.comune.salizzole.vr.it;Angelo Campi;2024
SAN BONIFACIO;piazza Costituzione, 4;37047;045 6132611; protocollo@comune.sanbonifacio.vr.it;sanbonifacio.vr@cert.ip-veneto.net;www.comune.sanbonifacio.vr.it;Fulvio Soave;2024
SAN GIOVANNI ILARIONE;piazza Aldo Moro, 5;37035;045 6550444;protocollo@comune.sangiovanniilarione.vr.it;protocollo@cert.comune.sangiovanniilarione.vr.it;www.comune.sangiovanniilarione.vr.it;Luciano Marcazzan;2022
SAN GIOVANNI LUPATOTO;via Roma, 18;37057;045 8290111;protocol.comune.sangiovannilupatoto.vr@pecveneto.it;protocol.comune.sangiovannilupatoto.vr@pecveneto.it;www.comune.sangiovannilupatoto.vr.it;Attilio Gastaldello;2021
SAN MARTINO BUON ALBERGO;piazza del Popolo, 36;37036;045 8874111;posta@comunesanmartinobuonalbergo.it;comune.sanmartinobuonalbergo.vr@pecveneto.it;www.comunesanmartinobuonalbergo.it;Giulio Furlani;2022
SAN MAURO DI SALINE;piazza Marconi, 1;37030;045 7840009;segreteria@comune.sanmaurodisaline.vr.it;comune.sanmaurodisaline.vr@pecveneto.it;www.comune.sanmaurodisaline.vr.it;Luciano Alberti;2023
SAN PIETRO DI MORUBIO;via Motta, 2;37050;045 6969000;antonella.leardini@comune.sanpietrodimorubio.vr.it;protocollo.sanpietromorubio@legalmail.it;www.comune.sanpietrodimorubio.vr.it;Corrado Vincenzi;2021
SAN PIETRO IN CARIANO;via Chopin, 3;37029;045 6832111;protocollo@comune.sanpietroincariano.vr.it;sanpietroincariano.vr@cert.ip-veneto.net;www.comune.sanpietroincariano.vr.it;Gerardo Zantedeschi;2024
SAN ZENO DI MONTAGNA;'contrada Ca'' Montagna 11';37010;045 7285017;segreteria@comune.sanzenodimontagna.vr.it;sanzenodimontagna.vr@cert.ip-veneto.net;www.comunesanzenodimontagna.;Maurizio Castellani;2024
SANGUINETTO;via Interno Castello, 2;37058;0442 81066 / 036;info@comune.sanguinetto.vr.it;comune.sanguinetto.vr@pecveneto.it;www.comune.sanguinetto.vr.it;Daniele Fraccaroli;2024
'SANT''AMBROGIO DI VALPOLICELLA';via Sengio, 1;37015;045 6832611;segreteria@comune.santambrogio.vr.it;s.ambrogiovalp@postemailcertificata.it;www.comune.santambrogio.vr.it;Roberto Albino Zorzi;2024
'SANT''ANNA D''ALFAEDO';via Roma, 4;37020;045 7532502 / 856;segreteria@comune.santannadalfaedo.verona.it;comune.santannadalfaedo.vr@pecveneto.it;www.comune.santannadalfaedo.verona.it;Raffaello Campostrini;2024
SELVA DI PROGNO;piazza prof. B.G. Cappelletti, 1;37030;045 7847010;segreteria@comuneselvadiprogno.it;segreteria.selva@pec.it;www.comuneselvadiprogno.it;Marco Antonio Cappelletti;2024
SOAVE;via Camuzzoni, 8;37038;045 7680777;info@comunesoave.it;soave.vr@cert.ip-veneto.net;www.comunesoave.it; Matteo Pressi ;2022
SOMMACAMPAGNA;piazza Carlo Alberto, 1;37066;045 8971311;affari.generali@comune.sommacampagna.vr.it;sommacampagna.vr@cert.ip-veneto.net;www.comune.sommacampagna.vr.it;Fabrizio Bertolaso;2024
SONA;piazza Roma, 1;37060;045 6091211;protocollo@comune.sona.vr.it  ;sona.vr@cert.ip-veneto.net;www.comune.sona.vr.it;Gianfranco Dalla Valentina;2023
'SORGA''';piazza G. Murari Brà, 1;37060;045 7370000;segreteria@comune.sorga.vr.it;protocollo.informatico@pec.comune.sorga.vr.it;www.comune.sorga.vr.it;Paola Bedoni;2024
TERRAZZO;piazzale degli Alpini, 1;37040;0442 94013;info@comune.terrazzo.vr.it;comune.terrazzo@legalmail.it;www.comune.terrazzo.vr.it;Enrico Visentin;2024
TORRI DEL BENACO;viale f.lli Lavanda, 3;37010;045 6205888;comune@comune.torridelbenaco.vr.it;torridelbenaco.vr@cert.ip-veneto.net;www.comune.torridelbenaco.vr.it;Stefano Nicotra;2024
TREGNAGO;piazza A. Massalongo, 1;37039;045 7808035;segreteria@comune.tregnago.vr.it;comune.tregnago.vr@pecveneto.it;www.comune.tregnago.vr.it;Simone Santellani;2021
TREVENZUOLO;via Roma, 5;37060;045 7350288;segreteria@comune.trevenzuolo.vr.it;protocollo@pec.comune.trevenzuolo.vr.it;www.comune.trevenzuolo.vr.it;Eros Torsi;2020
VALEGGIO SUL MINCIO;piazza C. Alberto, 48;37067;045 6339800;info@comune.valeggiosulmincio.vr.it;protocollo.comune.valeggiosulmincio.vr@pecveneto.it;www.comune.valeggiosulmincio.vr.it;Alessandro Gardoni;2024
VELO VERONESE;piazza della Vittoria, 8;37030;045 6518016; info@comune.veloveronese.vr.it;comune.velo@pec.it; www.comune.veloveronese.vr.it;Mario Varalta;2024
VERONA;piazza Bra, 1;37121;045 8077111;urp@comune.verona.it;protocollo.informatico@pec.comune.verona.it;www.comune.verona.it;Damiano Tommasi;2022
VERONELLA;piazza G. Marconi, 45;37040;0442 450600;info@comune.veronella.vr.it;protocollo@pec.comune.veronella.vr.it;www.comune.veronella.vr.it;Matteo Cavallon;2024
VESTENANOVA;piazza Roma, 1;37030;045 6564017;segreteria@comune.vestenanova.vr.it;comune.vestenanova@pec.it;www.comune.vestenanova.vr.it;Stefano Presa;2024
VIGASIO;via Italo Montemezzi, 17;37068;045 7363700;protocollo@comune.vigasio.vr.it ;vigasio.segreteria@halleycert.it;www.comune.vigasio.vr.it;Eddi Tosi;2020
VILLA BARTOLOMEA;corso A. Fraccaroli, 70;37049;0442 1833800;segreteria@comune.villa-bartolomea.vr.it;segreteria.comune.villa-bartolomea@halleypec.it;www.comune.villa-bartolomea.vr.it;Andrea Tuzza;2022
VILLAFRANCA DI VERONA;corso Garibaldi 24;37069;045 6339111;protocollo@comune.villafranca.vr.it;protocollo.comune.villafranca.vr@pecveneto.it;www.comune.villafranca.vr.it;'Roberto Luca Dall''Oca';2023
ZEVIO;via Ponte Perez, 2;37059;045 6068411;comunedizevio@comune.zevio.vr.it;zevio.vr@cert.ip-veneto.net;www.comune.zevio.vr.it;Paola Conti;2022
ZIMELLA;piazza G. Marconi, 1;37040;0442 490011;info@zimella.com;info@pec.comune.zimella.vr.it;www.zimella.com;Gionata Monega;2024
